symbol,company
601318,中国平安
600036,招商银行
600519,贵州茅台
601166,兴业银行
000333,美的集团
000002,万科企业
600016,中国民生银行
600000,上海浦东发展银行
600887,伊利股份
601288,农业银行
601398,中国工商银行
600030,中信证券
601328,交通银行
000858,五粮液
002415,海康威视
000725,京东方
601668,中国建筑
601601,中国太保
600048,保利地产
601169,北京银行
600276,恒瑞医药
601988,中国银行
000001,平安银行
002027,七喜控股
600104,上海汽车
601766,中国中车
601939,中国建设银行
600837,海通证券
600900,长江电力
600028,中国石化
601818,光大银行
601211,国泰君安
600019,宝钢股份
002304,洋河股份
600050,中国联通
002594,比亚迪
601088,中国神华
601688,华泰证券
001979,招商蛇口
00776,广发证券
601186,中国铁建
601390,中国中铁
601628,中国人寿
601336,新华人寿保险
601857,中国石油
600018,上港集团
601800,中国交通建设
601998,中信银行
601229,上海银行
601238,广汽集团
